study,sample_name,total_mapped_reads,is_negative_control
BAL,BAL_NC,13,True
BAL,LDC_BAL_01,8086,False
BAL,LDC_BAL_02,4030,False
BAL,LDC_BAL_03,2708,False
BAL,LDC_BAL_04,5290,False
BAL,LDC_BAL_05,43289,False
BAL,LDC_BAL_06,6310,False
BAL,LDC_BAL_07,8571,False
BAL,LDC_BAL_08,6265,False
BAL,LDC_BAL_09,87399,False
BAL,LDC_BAL_10,8346,False
BAL,LDC_BAL_11,5102,False
BAL,LDC_BAL_12_pool2,6244,False
BAL,LDC_BAL_13_pool2,119356,False
BAL,LDC_BAL_14_pool2,784,False
BAL,LDC_BAL_15_pool2,4426,False
BAL,LDC_BAL_16_pool2,3425,False
BAL,LDC_BAL_17_pool2,2966,False
BAL,LDC_BAL_18_pool2,3832,False
BAL,LDC_BAL_19_pool2,1176,False
BAL,LDC_BAL_20_pool2,1251,False
BAL,LDC_BAL_21_pool2,20014,False
CSF,CSF1,160168,False
CSF,CSF10_panel-barcode_68,185224,False
CSF,CSF11,215912,False
CSF,CSF12,227596,False
CSF,CSF13panel-barcode73-Qscore16,221836,False
CSF,CSF14,229917,False
CSF,CSF2panel_barcode58,157255,False
CSF,CSF3panel-barcode59,148039,False
CSF,CSF4-panel-barcode60,123699,False
CSF,CSF5,197430,False
CSF,CSF6panel_barcode63,208438,False
CSF,CSF7panel_barcode64,211681,False
CSF,CSF8panel-barcode65,128048,False
CSF,CSF9panel-Barcode67,215554,False
CSF,CSFpanel_neg,2623,True
NGS_meta_2025,NGS_meta_25S_01,48044,False
NGS_meta_2025,NGS_meta_25S_02,23643,False
NGS_meta_2025,NGS_meta_25S_03,165233,False
NGS_meta_2025,NGS_meta_25S_04,22305,False
NGS_meta_2025,NGS_meta_25S_05,35666,False
NGS_meta_2025,NGS_meta_25S_06,151473,False
NGS_meta_2025,isolation_control,30,True
QCMD2024,QCMD2024-neg,6579,True
QCMD2024,QCMD2024-sample4,138936,False
QCMD2024,QCMD2024-sample5,140847,False
QCMD2024,QCMD2024_sample1,179748,False
QCMD2024,QCMD2024_sample2,161965,False
QCMD2024,QCMD2024_sample3,144685,False
QCMD2024,QCMD2024_sample6,147531,False
