,,Standard,Standard,AVITI,AVITI,AVITI,AVITI,ONT,ONT,ONT,ONT,
Year,sample,Virus ,VL (log10 copies/ml),Reads,Depth,genome_coverage,Total filtered reads,Reads,Depth,genome_coverage,Total filtered reads,Sensitivity
2024,Sample1,MPXV,4,4410000,3267,99%,10116512,126419,153.4,99.90%,179748,100% (12/12)
2024,Sample1,HIV-1,4,6222,98,54%,10116512,389,11.9,96.30%,179748,
2024,Sample2,EVD68,4.5,46298,977,99%,5011786,3152,104.6,97.90%,161965,100% (6/6)
2024,Sample2,HSV-2,3.4,779129,758,98%,5011786,43106,78,92.40%,161965,
2024,Sample2,Influenza A H3N2,5.7,29564,400,80%,5011786,3545,63.7,90%,161965,
2024,Sample3,CMV,4,116894,75,47%,4522134,8002,25.3,32.80%,144685,
2024,Sample4,EVD68,4.5,40453,855,99%,3824684,3793,132.6,95.40%,138936,
2024,Sample4,HSV-1,3.4,83098,83,52%,3824684,5681,24.7,38.40%,138936,
2024,Sample4,MPXV,3,67210,54,54%,3824684,8113,23.1,41%,138936,
2024,Sample5,-,-,-,-,-,3840310,-,-,-,140847,
2024,Sample6,EVD68,4.5,57071,1189,99%,4223834,5058,178.4,97.10%,147531,
2024,Sample6,HSV-1,1.4,10286,10,7%,4223834,799,16.8,9.10%,147531,
2024,Sample6,HSV-2,1.4,10987,10,7%,4223834,742,17.1,7.90%,147531,
2025,Sample1,EVD68,4.5,157565,3212,100%,15476661,1170,43.9,85.20%,48044,"90.9% (10/11),"
2025,Sample1,HSV-2,3.4,2408394,2324,100%,15476661,12675,24.5,72.20%,48044,
2025,Sample1,Influenza A H3N2,5.7,54972,755,50%,15476661,569,13.7,56.80%,48044,80% (4/5)
2025,Sample2,-,-,-,-,-,8798185,-,-,-,23643,
2025,Sample3,MPXV,4,10396358,8128,100%,25509167,125660,141.7,99.90%,165233,
2025,Sample3,HIV-1,4,88422,1374,100%,25509167,862,36.5,57.90%,165233,
2025,Sample4,EVD68,4.5,106810,2198,100%,8868193,783,37.2,63.50%,22305,
2025,Sample4,HSV-1,1.4,21723,21,5%,8868193,110,3.7,5%,22305,
2025,Sample4,HSV-2,1.4,16821,16,19%,8868193,20592,209.5,4.30%,22305,
2025,Sample4,Influenza A H1N1,4.7,10313,144,12%,8868193,183,20.8,12.20%,22305,
2025,Sample5,CMV,4,402611,255,43%,12898543,34318,29.5,45.70%,35666,
2025,Sample6*,HadV-4,3.3,-,-,-,39569079,-,-,-,151473,
