"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","aviti_bleed_ratio_min_pct","aviti_min_genome_coverage_pct","aviti_min_reads_per_million_filtered"
1,21,13,3,355,14,0,61.76,100,80.88,61.76,2.07615823108833,9.83850780187885,19.2630305778873
2,21,13,3,355,14,0,61.76,100,80.88,61.76,1.38946421031835,6.28452112146164,14.7220252352008
3,22,12,4,354,14,0,64.71,100,82.35,64.71,1.18457497021558,2.00222504724271,9.07939194673989
4,18,16,1,357,14,0,52.94,100,76.47,52.94,2.83670830565193,47.1733999058394,15.6750613419482
5,20,14,2,356,14,0,58.82,100,79.41,58.82,7.34473571671883,30.0441430612431,6.6127128717416
6,21,13,4,354,14,0,61.76,100,80.88,61.76,4.97504238277148,21.6116407563962,1.79074557117731
7,21,13,2,356,14,0,61.76,100,80.88,61.76,4.06217103293829,21.5930017413113,9.11758226208179
8,18,16,1,357,14,0,52.94,100,76.47,52.94,6.61946804164769,49.5654509872742,17.5341594028076
9,21,13,2,356,14,0,61.76,100,80.88,61.76,4.78188217367411,15.9594879391269,8.80986150236679
10,20,14,2,356,14,0,58.82,100,79.41,58.82,6.52880413860632,28.9607179859073,19.5305771140326
11,21,13,2,356,14,0,61.76,100,80.88,61.76,4.56254085942865,25.9358081105999,9.4704528914391
12,20,14,1,357,14,0,58.82,100,79.41,58.82,8.06950118032792,36.823984116504,13.293285292103
13,20,14,2,356,14,0,58.82,100,79.41,58.82,5.99963838764585,26.4149671611404,13.9086718486268
14,21,13,3,355,14,0,61.76,100,80.88,61.76,4.71479064749645,8.3148409641349,3.7560417402084
15,22,12,3,355,14,0,64.71,100,82.35,64.71,4.47388957921057,2.91209090165375,6.88081471350151
16,20,14,2,356,14,0,58.82,100,79.41,58.82,5.54884084947268,28.1356957369727,5.87852309481674
17,18,16,1,357,14,0,52.94,100,76.47,52.94,8.20402351668975,47.2569328643773,18.2652300083053
18,20,14,1,357,14,0,58.82,100,79.41,58.82,6.96093765018263,35.8956443370321,0.690619017682923
19,21,13,2,356,14,0,61.76,100,80.88,61.76,4.02329344426352,9.77276205739984,9.10401965742726
20,22,12,3,355,14,0,64.71,100,82.35,64.71,7.79566499599242,3.08307195048826,4.28750439823484
21,21,13,3,355,14,0,61.76,100,80.88,61.76,8.81751860662659,4.66865628591017,13.0371276233469
22,22,12,38,320,14,9,64.71,35.71,50.21,35.71,0.00917518678114284,35.6433930848278,0.134600416552462
23,21,13,2,356,14,0,61.76,100,80.88,61.76,6.854280333851,20.5904327949974,6.91809802158973
24,21,13,6,352,14,0,61.76,100,80.88,61.76,6.98196395740772,11.8412061793029,0.136562948291935
25,18,16,1,357,14,0,52.94,100,76.47,52.94,6.82715839365837,49.4633056317966,2.88714857980041
26,20,14,2,356,14,0,58.82,100,79.41,58.82,2.04487651652545,26.4467277888129,2.57307719202964
27,20,14,2,356,14,0,58.82,100,79.41,58.82,8.22330533483752,27.8151506712766,13.6014045140175
28,21,13,3,355,14,0,61.76,100,80.88,61.76,2.84182096405209,5.71975075654581,13.0131818431258
29,18,16,1,357,14,0,52.94,100,76.47,52.94,4.75287260147855,43.5449815295751,6.33991313108192
30,21,13,2,356,14,0,61.76,100,80.88,61.76,1.58597872857102,21.8657472349098,10.5593462001942
31,22,12,3,355,14,0,64.71,100,82.35,64.71,6.68278116827966,5.72226845209452,6.60739993147017
32,21,13,3,355,14,0,61.76,100,80.88,61.76,8.49135481311653,8.25093724910286,3.83073396190465
33,18,16,1,357,14,0,52.94,100,76.47,52.94,4.96678337237765,48.7728888527573,10.063847165307
34,20,14,1,357,14,0,58.82,100,79.41,58.82,3.53945612559926,37.0396324318451,7.86766949924328
35,22,12,2,356,14,0,64.71,100,82.35,64.71,0.19587808009421,15.0789364132758,5.18011959881848
36,22,12,2,356,14,0,64.71,100,82.35,64.71,0.406316309913225,13.0287219076408,12.3804429532714
37,21,13,2,356,14,0,61.76,100,80.88,61.76,6.91124969865466,19.4603404044866,17.5104915014063
38,21,13,3,355,14,0,61.76,100,80.88,61.76,8.17552974163841,5.27100988577539,13.4853728950844
39,21,13,2,356,14,0,61.76,100,80.88,61.76,9.90285685054643,6.28911921758123,15.6174373928118
