"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","ont_bleed_ratio_min_pct","ont_min_nb_reads","ont_min_genome_coverage_pct"
1,12,22,3,355,14,0,35.29,100,67.65,35.29,1.77405593594455,14,44.3749464129696
2,12,22,4,354,14,0,35.29,100,67.65,35.29,4.22843371869759,53,16.2198778426675
3,12,22,3,355,14,0,35.29,100,67.65,35.29,7.88429139530321,75,31.4012220264012
4,11,23,3,355,14,0,32.35,100,66.18,32.35,9.11312711094278,48,42.7211656726578
5,14,20,3,355,14,0,41.18,100,70.59,41.18,9.49657733075549,10,28.7848141690914
6,12,22,3,355,14,0,35.29,100,67.65,35.29,8.49893163650474,50,28.7446356062227
7,12,22,4,354,14,0,35.29,100,67.65,35.29,1.57916159663119,88,11.9919749075775
8,12,22,15,343,14,3,35.29,78.57,56.93,35.29,0.161063113772892,99,0.245518953013932
9,11,23,3,355,14,0,32.35,100,66.18,32.35,0.287959013669472,81,49.2193927363732
10,13,21,3,355,14,0,38.24,100,69.12,38.24,7.8606717591594,27,34.3571271577653
11,11,23,3,355,14,0,32.35,100,66.18,32.35,2.70051854446223,64,44.7302448618053
12,12,22,3,355,14,0,35.29,100,67.65,35.29,1.98013481042928,64,31.6172842683314
13,12,22,3,355,14,0,35.29,100,67.65,35.29,9.42147110444161,33,45.3731287078571
14,15,19,4,354,14,0,44.12,100,72.06,44.12,9.59874759359553,16,7.97944286903611
15,13,21,4,354,14,0,38.24,100,69.12,38.24,9.40441166155026,33,18.7845103638966
16,11,23,3,355,14,0,32.35,100,66.18,32.35,8.01352677358226,64,40.1502993135498
17,15,19,4,354,14,0,44.12,100,72.06,44.12,3.06003107480581,16,16.8319228556023
18,18,16,8,350,14,0,52.94,100,76.47,52.94,3.56496067449681,14,0.401329167528078
19,11,23,3,355,14,0,32.35,100,66.18,32.35,1.97926216341557,61,45.79734627124
20,12,22,3,355,14,0,35.29,100,67.65,35.29,7.04859753150037,53,24.6222906262022
21,12,22,4,354,14,0,35.29,100,67.65,35.29,8.64953118275509,83,15.1773710512683
22,12,22,3,355,14,0,35.29,100,67.65,35.29,2.81759267862025,88,32.5324306821708
23,11,23,3,355,14,0,32.35,100,66.18,32.35,8.02477703196793,63,40.2777055237241
24,14,20,3,355,14,0,41.18,100,70.59,41.18,1.2944315738366,21,23.3289070105356
25,15,19,3,355,14,0,44.12,100,72.06,44.12,9.74641607277754,3,25.4638458294562
26,12,22,3,355,14,0,35.29,100,67.65,35.29,4.47125464757383,48,34.8097755676756
27,18,16,6,352,14,0,52.94,100,76.47,52.94,4.53802991019986,6,3.65538379018719
28,13,21,3,355,14,0,38.24,100,69.12,38.24,6.72095350555873,15,35.2664550353931
29,12,22,3,355,14,0,35.29,100,67.65,35.29,5.47945095664868,13,38.3077686261204
30,12,22,3,355,14,0,35.29,100,67.65,35.29,4.6240496504046,30,40.8305293267935
31,14,20,11,347,14,1,41.18,92.86,67.02,41.18,0.773740432668431,72,2.41009939922171
32,12,22,3,355,14,0,35.29,100,67.65,35.29,9.86124678438131,51,29.6085462286604
33,13,21,3,355,14,0,38.24,100,69.12,38.24,1.7685876540164,6,41.5505293815174
34,11,23,3,355,14,0,32.35,100,66.18,32.35,5.17365127037522,65,43.9571008039245
35,11,23,3,355,14,0,32.35,100,66.18,32.35,6.82801659974016,87,47.7636136756293
36,14,20,7,351,14,0,41.18,100,70.59,41.18,3.65023087353217,80,2.57572793092637
