accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
NC_001781.1	15225	4846	47	0.47104478	0.605381	Human orthopneumovirus Subgroup B, complete genome	11250	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Orthopneumovirus	Human orthopneumovirus	unclassified Human orthopneumovirus subspecies/strain	unclassified Human orthopneumovirus strain	B7	5099311
AM749299.1	33763	145	1	0.004313807	0.00580828	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	B7	5099311
NC_026438.1	10878	138	1	0.0128635345	0.0180277	influenza A H1N1 all segments	641809	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/California/07/2009(H1N1))	Influenza A virus (A/California/07/2009(H1N1))	B7	5099311
NC_045512.2	29903	2422	46	0.22948946	0.30167	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	B7	5099311
AB017613.1	3818	2961	250	10.40458	12.8408	Torque teno virus 16 DNA, complete genome, isolate: TUS01	687355	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 16	unclassified Torque teno virus 16 subspecies/strain	unclassified Torque teno virus 16 strain	B7	5099311
AB025946.2	3808	175	2	0.16293056	0.102996	Torque teno virus 19 DNA, complete genome, isolate: TTV SANBAN	687358	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 19	unclassified Torque teno virus 19 subspecies/strain	unclassified Torque teno virus 19 strain	B7	5099311
AB028668.1	3787	279	9	0.43799835	0.466053	Torque teno virus 15 DNA, complete genome, isolate: TJN01	687354	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 15	unclassified Torque teno virus 15 subspecies/strain	unclassified Torque teno virus 15 strain	B7	5099311
AB038621.1	3676	2221	64	2.676971	3.41423	Torque teno virus 29 ORF2, ORF1, ORF3 genes, complete cds, isolate: TTVyon-KC009	687368	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 29	unclassified Torque teno virus 29 subspecies/strain	unclassified Torque teno virus 29 strain	B7	5099311
AB041007.1	3852	340	6	0.2350081	0.305459	Torque teno virus 1 orf2/5, orf2/4, orf1 genes for VP1, VP2, VP3, complete cds	687340	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 1	unclassified Torque teno virus 1 subspecies/strain	unclassified Torque teno virus 1 strain	B7	5099311
AB060594.1	3234	347	16	0.6666667	0.970216	Torque teno virus 20 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-10	687359	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 20	unclassified Torque teno virus 20 subspecies/strain	unclassified Torque teno virus 20 strain	B7	5099311
AB060597.1	3246	1934	50	2.3116925	3.02072	Torque teno virus 24 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-01	687363	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 24	unclassified Torque teno virus 24 subspecies/strain	unclassified Torque teno virus 24 strain	B7	5099311
AB064595.1	3729	424	10	0.3900531	0.525891	Torque teno virus 27 DNA, complete genome, isolate: CT23F	687366	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 27	unclassified Torque teno virus 27 subspecies/strain	unclassified Torque teno virus 27 strain	B7	5099311
AB064605.1	3759	616	11	0.4857301	0.573864	Torque teno virus 12 DNA, complete genome, isolate: CT44F	687351	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 12	unclassified Torque teno virus 12 subspecies/strain	unclassified Torque teno virus 12 strain	B7	5099311
AB064607.1	3770	382	6	0.27348065	0.312103	Torque teno virus 10 DNA, complete genome, isolate: JT34F	687349	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 10	unclassified Torque teno virus 10 subspecies/strain	unclassified Torque teno virus 10 strain	B7	5099311
AB303564.1	3230	288	3	0.14577922	0.182141	Torque teno midi virus 13 DNA, complete genome, isolate: MDJN69	2065054	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	unclassified Torque teno midi virus 13 subspecies/strain	unclassified Torque teno midi virus 13 strain	B7	5099311
AB362840.1	7246	3084	383	7.688275	10.3655	Orthohepevirus A genomic RNA, complete genome, isolate: 114d/A549	1678143	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Paslahepevirus	Paslahepevirus balayani	unclassified Paslahepevirus balayani subspecies/strain	unclassified Paslahepevirus balayani strain	B7	5099311
AC090446.27	170275	310	6	0.018727407	0.00691017	Baboon cytomegalovirus OCOM4-37 clone bacmv, WORKING DRAFT SEQUENCE, 22 unordered pieces	153301	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Cytomegalovirus	Papiine betaherpesvirus 3	Baboon cytomegalovirus OCOM4-37	Baboon cytomegalovirus OCOM4-37	B7	5099311
AF033808.1	9392	152	20	0.28521964	0.4176	Rous sarcoma virus, complete genome	11886	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus	Rous sarcoma virus	unclassified Rous sarcoma virus subspecies/strain	unclassified Rous sarcoma virus strain	B7	5099311
AF033812.1	5894	150	1	0.026114207	0.033272	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	B7	5099311
AF261761.1	3736	323	2	0.14417177	0.104981	Torque teno virus 7 isolate PMV, complete genome	687346	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 7	unclassified Torque teno virus 7 subspecies/strain	unclassified Torque teno virus 7 strain	B7	5099311
AF291073.1	2910	2909	3259	179.77246	219.624	Torque teno mini virus 8 isolate PB4TL, complete genome	687376	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 8	unclassified Torque teno mini virus 8 subspecies/strain	unclassified Torque teno mini virus 8 strain	B7	5099311
AF345524.1	3193	1496	37	1.484719	2.27243	Torque teno virus 11 isolate TCHN-D1 Orf2 and Orf1 genes, complete cds	687350	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 11	unclassified Torque teno virus 11 subspecies/strain	unclassified Torque teno virus 11 strain	B7	5099311
