StrainName BAL,Identifier,NbReads,DepthOfCoverage,NtIdentity,AaIdentity,GenomeCoveragePct,UniformCoveragePct,ReferenceType,AssignmentLevel,TaxonomyId,StrainAssembly,TaxonomyLineage
Mastadenovirus caesari / human adenovirus / chimpanzee adenovirus / simian adenovirus,0-0,10,1.501842752,0.975354,Assembly quality too low,4.53015,N/A,strain,Discovery,3241411,N/A,Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Polisuviricotina|Pharingeaviricetes|Rowavirales|Adenoviridae|Mastadenovirus|Mastadenovirus caesari
Circovirus-like genome DCCV-4,1-0,2,1.36,0.996364,Assembly quality too low,9.21273,N/A,strain,Assignment,1788444,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|unclassified Circoviridae|Circovirus-like genome DCCV-4
Torque teno virus 22,2-0,1,1,0.85061,Assembly quality too low,8.73408,N/A,strain,Discovery,687361,N/A,Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Alphatorquevirus|Alphatorquevirus homin24|Torque teno virus 22
,,,,,,,,,,,,
StrainName CSF,Identifier,NbReads,DepthOfCoverage,NtIdentity,AaIdentity,GenomeCoveragePct,UniformCoveragePct,ReferenceType,AssignmentLevel,TaxonomyId,StrainAssembly,TaxonomyLineage
Circovirus-like genome DCCV-4,0-0,634,42.23127148,0.995533,0.992415,97.4874,N/A,strain,Assignment,1788444,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|unclassified Circoviridae|Circovirus-like genome DCCV-4
Ichnoviriform fumiferanae / Glypta fumiferanae ichnovirus (segment C9),1-0,336,215.940678,0.915254,0.8,3.75677,N/A,strain,Discovery,419435,N/A,Viruses|Viruses incertae sedis|Polydnaviriformidae|Ichnoviriform|Ichnoviriform fumiferanae
Scythevirus dianchis / Circovirus-like genome DCCV-13,2-0,270,26.55511616,0.990613,0.987517,83.1484,N/A,strain,Assignment,3432310,N/A,Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Saturnivirales|Kanorauviridae|Scythevirus|Scythevirus dianchis
Frog virus 3,3-0,252,167.170068,0.854167,0.75,0.127262,N/A,strain,Discovery,10493,N/A,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Megaviricetes|Pimascovirales|Pimascovirales incertae sedis|Iridoviridae|Alphairidovirinae|Ranavirus|Ranavirus rana1|Frog virus 3
Iodovirus PLPE / Iodobacter phage PhiPLPE,4-0,244,171.7556561,0.902326,0,0.465724,N/A,strain,Discovery,2560530,N/A,Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Iodovirus|Iodovirus PLPE
Rhadinovirus macacinegamma8 / macacine gammaherpesvirus 8; retroperitoneal fibromatosis-associated herpesvirus Macaca nemestrina,5-0,200,45.06635071,0.829762,0.790244,0.662897,N/A,strain,Discovery,3050316,N/A,Viruses|Duplodnaviria|Heunggongvirae|Peploviricota|Herviviricetes|Herpesvirales|Orthoherpesviridae|Gammaherpesvirinae|Rhadinovirus|Rhadinovirus macacinegamma8
Mastadenovirus caesari / human adenovirus / chimpanzee adenovirus / simian adenovirus,6-0,167,12.54024511,0.987095,0.975,8.40081,N/A,segment,Discovery,3241411,N/A,Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Polisuviricotina|Pharingeaviricetes|Rowavirales|Adenoviridae|Mastadenovirus|Mastadenovirus caesari
Mastadenovirus caesari / human adenovirus / chimpanzee adenovirus / simian adenovirus,6-1,48,5.675389755,0.967598,0.935167,4.98875,N/A,segment,Discovery,3241411,N/A,Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Polisuviricotina|Pharingeaviricetes|Rowavirales|Adenoviridae|Mastadenovirus|Mastadenovirus caesari
Orthonairovirus huangpiense / Huángpí tick virus 1 (segment S),7-0,135,38.6656051,0.557864,0,15.9472,N/A,strain,Discovery,3052520,N/A,Viruses|Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Bunyaviricetes|Hareavirales|Nairoviridae|Orthonairovirus|Orthonairovirus huangpiense
