"accession","reference_length","covered_bases","reads_aligned","mean_coverage","RPKMF","sequence_name","taxid","kingdom","phylum","class","order","family","genus","species","subspecies","strain","sample_ID","total_filtered_reads_in_sample"
"JX017384.1",7412,150,1,0.020655466,0.369202,"Human enterovirus 71 isolate 01011Y, complete genome",39054,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus A","Enterovirus A71","Enterovirus A71","NC_QCMD",365427
"KT280503.1",7332,134,1,0.018657755,0.37323,"Enterovirus D68 isolate 2011-21186, complete genome",42789,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","enterovirus D68","enterovirus D68","NC_QCMD",365427
"GU191019.1",34177,489,3,0.014370941,0.240208,"Human adenovirus 18 isolate D.C., complete genome",10528,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus A","Human adenovirus 18","Human adenovirus 18","NC_QCMD",365427
"AC_000007.1",35937,724,1053,4.4088354,80.1837,"Human adenovirus 2, complete genome",10515,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Human adenovirus 2","Human adenovirus 2","NC_QCMD",365427
"NC_001611.1",185578,3392,25,0.019419936,0.368649,"Variola virus, complete genome",10255,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Variola virus","unclassified Variola virus subspecies/strain","unclassified Variola virus strain","NC_QCMD",365427
"NC_003266.2",35994,538,4,0.015009485,0.304109,"Human adenovirus E, complete genome",130308,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus E","unclassified Human mastadenovirus E subspecies/strain","unclassified Human mastadenovirus E strain","NC_QCMD",365427
"NC_006998.1",194711,5472,37,0.028587434,0.520009,"Vaccinia virus, complete genome",10245,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Vaccinia virus","unclassified Vaccinia virus subspecies/strain","unclassified Vaccinia virus strain","NC_QCMD",365427
"NC_003663.2",224499,24634,184,0.1318838,2.24286,"Cowpox virus, complete genome",10243,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Cowpox virus","unclassified Cowpox virus subspecies/strain","unclassified Cowpox virus strain","NC_QCMD",365427
"NC_003310.1",196858,21477,165,0.1273817,2.29367,"Monkeypox virus Zaire-96-I-16, complete genome",10244,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox virus","unclassified Monkeypox virus subspecies/strain","unclassified Monkeypox virus strain","NC_QCMD",365427
"AY484669.1",197731,4668,33,0.025058078,0.456708,"Rabbitpox virus, complete genome",32606,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Vaccinia virus","Rabbitpox virus","Rabbitpox virus","NC_QCMD",365427
"NC_012564.1",5242,150,1,0.029457973,0.522038,"Human bocavirus 3, complete genome",638313,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 1","Human bocavirus 3","Human bocavirus 3","NC_QCMD",365427
"NC_012042.1",5196,337,4,0.11078081,2.10664,"Human bocavirus 2c PK isolate PK-5510, complete genome",1511882,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 2","Human bocavirus 2c PK","Human bocavirus 2c PK","NC_QCMD",365427
"AC090446.27",170275,232,1,0.0033622338,0.0160712,"Baboon cytomegalovirus OCOM4-37 clone bacmv, WORKING DRAFT SEQUENCE, 22 unordered pieces",153301,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Papiine betaherpesvirus 3","Baboon cytomegalovirus OCOM4-37","Baboon cytomegalovirus OCOM4-37","NC_QCMD",365427
"AF043303.1",4679,1538,19,0.5725326,11.1122,"Adeno-associated virus 2, complete genome",10804,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","adeno-associated virus 2","adeno-associated virus 2","NC_QCMD",365427
"AF063497.1",4718,150,1,0.032837126,0.580018,"Adeno-associated virus 1, complete genome",85106,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","Adeno-associated virus - 1","Adeno-associated virus - 1","NC_QCMD",365427
"AF109397.1",1768,280,2,0.17305315,3.09562,"Bovine circovirus, complete genome",85542,"Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","Circovirus","Porcine circovirus 2","Bovine circovirus","Bovine circovirus","NC_QCMD",365427
"AF513851.1",4721,139,1,0.030409101,0.579649,"Adeno-associated virus 7 nonstructural protein and capsid protein genes, complete cds",202812,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","Adeno-associated virus - 7","Adeno-associated virus - 7","NC_QCMD",365427
"AF513852.1",4393,222,4,0.13386755,2.49171,"Adeno-associated virus 8 nonstructural protein and capsid protein genes, complete cds",202813,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","Adeno-associated virus - 8","Adeno-associated virus - 8","NC_QCMD",365427
"AF536531.1",9812,432,135,2.0867314,37.6509,"Aphid lethal paralysis virus, complete genome",209529,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Dicistroviridae","Cripavirus","Aphid lethal paralysis virus","unclassified Aphid lethal paralysis virus subspecies/strain","unclassified Aphid lethal paralysis virus strain","NC_QCMD",365427
"D10032.1",8507,150,1,0.017949024,0.321679,"Baboon endogenous virus strain M7 proviral DNA, complete genome",11764,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Baboon endogenous virus","Baboon endogenous virus strain M7","Baboon endogenous virus strain M7","NC_QCMD",365427
"FJ025902.1",37820,2219,15,0.05834882,1.08535,"Simian adenovirus 42.2, complete genome",585098,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Simian adenovirus 42.2","Simian adenovirus 42.2","NC_QCMD",365427
"FJ025904.1",37860,351,2,0.009307876,0.14456,"Simian adenovirus 31.2, complete genome",585088,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Simian adenovirus 31.2","Simian adenovirus 31.2","NC_QCMD",365427
"FJ025921.1",36635,2252,17,0.06838427,1.26985,"Simian adenovirus 37.1, complete genome",585091,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus E","Simian adenovirus 37.1","Simian adenovirus 37.1","NC_QCMD",365427
"FN824512.2",45480,137,0,0.07198323,0,"Pigeon adenovirus 1 complete genome, strain IDA4",764030,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Aviadenovirus","Pigeon aviadenovirus A","Pigeon adenovirus 1","Pigeon adenovirus 1","NC_QCMD",365427
